ID,Name,Sex,Height,Weight
1,A Dijiang,M,1.8,80.0
2,A Lamusi,M,1.7,60.0
12,Jyri Tapani Aalto,M,1.72,70.0
13,Minna Maarit Aalto,F,1.59,55.5
17,Paavo Johannes Aaltonen,M,1.75,64.0
18,Timo Antero Aaltonen,M,1.89,130.0
22,Andreea Aanei,F,1.7,125.0
23,Fritz Aanes,M,1.87,89.0
28,Jan-Erik Aarberg,M,1.7,77.0
30,Pepijn Aardewijn,M,1.89,72.0
31,Evald rma (rman-),M,1.74,70.0
33,Mika Lauri Aarnikka,M,1.87,76.0
34,Jamale (Djamel-) Aarrass (Ahrass-),M,1.87,76.0
36,Stefan Remco Aartsen,M,1.94,78.0
37,Ann Kristin Aarnes,F,1.82,64.0
43,Morten Gjerdrum Aasen,M,1.85,75.0
46,Hans Aasns,M,1.94,93.0
47,Erling Rudolf Aastad,M,1.77,74.0
49,Moonika Aava,F,1.68,65.0
50,Arvi Aavik,M,1.85,106.0
51,Nstor Abad Sanjun,M,1.67,64.0
52,Patrick Abada,M,1.89,80.0
53,Talaat Abada,M,1.72,58.0
55,Antonio Abadia Beci,M,1.7,65.0
57,Borislav Abadzhiev,M,1.76,66.0
59,Ivan Nikolov Abadzhiev,M,1.64,71.0
60,Mikhail Abadzhiev,M,1.72,75.0
61,Stefan Abadzhiev,M,1.75,72.0
62,Giovanni Abagnale,M,1.98,90.0
63,Jos Luis Abajo Gmez,M,1.94,87.0
65,Patimat Abakarova,F,1.65,49.0
67,Mariya Vasilyevna Abakumova (-Tarabina),F,1.79,80.0
68,Pablo Martn Abal,M,1.78,76.0
69,Tamara Abalde Daz,F,1.85,72.0
70,Jess Iory Aball Martnez,M,1.67,65.0
71,Juan Antonio Aball Delgado,M,1.72,82.0
72,Aleksey Aleksandrovich Abalmasov,M,1.8,83.0
73,Luc Abalo,M,1.82,86.0
74,Mara Laura Abalo,F,1.82,73.0
75,Giorgos Abalof,M,1.78,70.0
76,Jouan Patrice Abanda Etong,M,1.85,82.0
77,Antoine Abang,M,1.66,75.0
80,Jos Mara Abarca Plotas,M,1.86,83.0
81,Georgios Abaris,M,1.9,77.0
82,Enrique Abaroa Martnez,M,1.83,75.0
84,Stephen Anthony Abas,M,1.65,55.0
85,Alejandro Abascal Garca,M,1.81,82.0
86,Jos Manuel Abascal Gmez,M,1.82,67.0
87,Rost'om Omeris dze Abashidze,M,1.88,97.0
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,1.68,105.0
90,Tamila Rashidovna Abasova,F,1.63,60.0
91,Emanuele Abate,M,1.9,80.0
92,Ignazio Abate,M,1.8,73.0
93,Jol Marc Abati,M,1.9,85.0
95,Georgia Abatzidou,F,1.55,43.0
96,Carlos Rodolfo Abaunza Balladares,M,1.68,60.0
97,Carlos Alberto Abaunza,M,1.8,70.0
98,Hctor Abaunza,M,1.69,75.0
99,Pter Abay,M,1.81,79.0
101,Adeyemi Abayomi,M,1.7,51.0
105,Ilyas Abbadi,M,1.75,75.0
106,Agostino Abbagnale,M,1.88,96.0
107,Carmine Abbagnale,M,1.82,90.0
108,Giuseppe Abbagnale,M,1.87,97.0
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,1.76,64.0
110,Abubakar Abbas Abbas,M,1.75,66.0
111,Aqarab Abbas,M,1.9,88.0
112,Aziz Abbas,M,1.69,67.0
113,Bassim Abbas Kati Al-Ogaili,M,1.75,80.0
114,Essa Abbas Faleh Hashem,M,1.6,65.0
115,Ghulam Abbas,M,1.81,74.0
117,Maher Abbas,M,1.78,78.0
118,Mahmoud Abbas,M,1.65,65.0
120,Mohammed Abbas Sabih,M,1.7,70.0
122,Nader Sufyan Abbas,M,1.73,77.0
123,Sohail Abbas,M,1.78,80.0
125,Zulkifli Abbas,M,1.7,62.0
127,Shakeel Abbasi,M,1.65,60.0
128,Soulmaz Abbasi Azad,F,1.73,60.0
129,Ruslan Abbasov,M,1.81,74.0
130,Tural Abbasov,M,1.82,76.0
131,Tran Abbasova,F,1.59,53.0
132,Simona Abbate,F,1.71,64.0
134,Christian Abbiati,M,1.92,90.0
135,Lois Abbingh,F,1.78,72.0
136,Alessandro Abbio,M,1.95,85.0
138,Salwan Jasim Abbood Abbood,M,1.8,104.0
140,"William ""Bill"" Abbott Jr.",M,1.72,80.0
141,Clare Abbott,F,1.67,58.0
142,"David ""Dave"" Abbott",M,1.83,75.0
143,"Desmond ""Des"" Abbott",M,1.84,87.0
144,Geoffrey Grant Abbott,M,1.79,80.0
146,Jeremy Abbott,M,1.79,71.0
147,Joanne Abbott,F,1.6,57.0
148,"Kathryn ""Katie"" Abbott",F,1.64,63.0
149,Mara Katherine Abbott,F,1.63,52.0
152,Matt Abbott,M,1.85,91.0
153,Monica Cecilia Abbott,F,1.91,88.0
154,Khadija Abbouda,F,1.65,57.0
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,1.85,98.0
156,Mahmoud Abd El-Kader,M,1.95,94.0
157,Mohamed Ibrahim Abd El-Salam,M,1.92,83.0
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,1.67,60.0
160,Ali Abdalla Afringi,M,1.63,57.0
161,Hossam Abdalla,M,2.03,97.0
165,Nia Nicole Abdallah,F,1.75,56.0
166,Omari Abdallah,M,1.68,57.0
168,Younis Abdallah Rabee,M,1.69,68.0
169,Raida Abdallah Bader,F,1.58,49.0
170,Maha Abdalsalam Gouda,F,1.72,61.0
171,Mahmoud Abdel Aziz,M,1.74,70.0
172,Mohamed Abdel Ellah,M,1.68,68.0
177,Mohamed Abdel Fattah,M,1.74,69.0
178,Sayed Abdel Gadir,M,1.8,56.0
180,Heba Abdel Gawad,F,1.54,48.0
181,Sara Abdel Gawad,F,1.53,46.0
184,Ragy Abdel Hady,M,1.86,100.0
187,Moustafa Ali Abdel Halim,M,1.52,52.0
188,Mohamed Abdel Hamed,M,1.93,82.0
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,1.89,85.0
196,Mohamed Abdel Khaled,M,1.83,76.0
197,Abdel Latif Abdel Latif,M,1.72,68.0
199,Amir Abdel Meguid,M,1.78,67.0
201,Karim Abdel Mohsen,M,1.88,92.0
202,Awad Abdel Nabi Awad,M,1.98,80.0
203,Ahmed Abdel Naeim,M,1.97,87.0
204,Moustafa Abdel Naser,M,1.76,74.0
210,Khaled Abdel Rahman,M,1.88,79.0
212,Yasser Abdel Rahman Sakr,M,1.8,120.0
213,Samy Abdel Razek,M,1.7,60.0
215,Ibrahim Ahmed Abdel Rehim,M,1.9,83.0
216,Kamal Abdel Rehim,M,1.9,95.0
217,Reskalla Mohamed Abdel Rehim,M,1.65,48.0
218,Ahmed Ali Abdel Samad,M,1.95,95.0
222,Mohamed Said Abdel Wehab,M,1.57,48.0
225,Shaimaa Abdel-Latif-Hashad,F,1.65,57.0
227,Ahmed Abdelaal,M,1.88,89.0
228,Mahmoud Abdelaal,M,1.76,60.0
229,Mohamed Ali Abdelaal,M,1.75,81.0
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,1.73,77.0
233,Aziza Abdelfattah,F,1.59,51.0
234,Abdalla Abdelgadir El-Sheikh,M,1.7,58.0
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,1.7,94.0
238,Mohamed Abdellah,M,1.7,70.0
239,Ayoub Abdellaoui,M,1.84,68.0
240,Leila Abdelmoez,F,1.6,46.0
241,Sayed Abdelmonem Sayed Hamed,M,1.7,60.0
242,Ahmed Abdelrahman,M,1.65,60.0
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,1.94,96.0
244,Raouf Abdelraouf,M,1.67,63.0
246,Mamdouh Abdelrehim,M,2.07,90.0
247,El-Hachemi Abdenouz,M,1.7,63.0
248,Rda Abdenouz,M,1.7,63.0
249,Mouni Abderrahim,F,1.73,60.0
250,Saeid Morad Abdevali,M,1.7,80.0
251,Bashir Abdi,M,1.76,56.0
252,Youcef Abdi,M,1.78,66.0
253,Jamal Abdi Hassan Abdullah,M,1.77,65.0
254,Talal Omar Abdillahi,M,1.7,57.0
256,"Abdihakim ""Abdi"" Abdirahman",M,1.78,61.0
257,Ali Abdo,M,1.69,74.0
259,Reema Abdo,F,1.73,59.0
261,Nasrollah Abdollahi,M,1.83,75.0
262,Yhyacinthe Mewoli Abdon,M,1.76,60.0
263,Hassane Abdou,M,1.85,67.0
264,Justin Abdou,M,1.75,85.0
266,Raouf Abdou,M,1.65,60.0
267,Mohamed Abdou El-Souad,M,1.8,76.0
269,Fawziya Abdoulkarim,F,1.8,67.0
270,Alaa El-Din Abdoun,M,1.88,78.0
272,Berik Abdrakhmanov,M,1.65,60.0
273,Maizurah Abdul Rahim,F,1.47,50.0
274,Mehdi Fahim Abdul Al-Sada,M,1.84,70.0
275,Bashir Abdullah Abdul Aziz,M,1.8,73.0
276,Chairil Anwar Abdul Aziz,M,1.63,61.0
277,Shaimaa Abdul Aziz,F,1.6,53.0
279,Jefri Kiko Bolkiah Abdul Hakeem,M,1.72,90.0
280,Mohamed Abdul Hamid,M,1.75,55.0
282,Hadi Abdul Jabbar,M,1.8,117.5
283,Mohamed Abed Abdul Jawad,M,1.69,65.0
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,1.69,60.0
287,Taha Abdul Karim,M,1.56,59.0
288,Masoud Abdul Khamis Al-Rahman,M,1.76,68.0
289,Abdul Haji Abdul Latheef,M,1.68,54.0
291,Majed Ahmed Abdul Mohamed,M,1.72,70.0
292,Firouz Abdul Mohammadian,M,1.78,74.0
293,Hussam Abdul Rahman,M,1.75,80.0
295,Suleman Abdul Rahman,M,1.74,55.0
296,Zambrose Abdul Rahman,M,1.73,64.0
297,Lala Abdul Rashid,M,1.69,91.0
298,Muhammad Abdul Rashid,M,1.81,72.0
299,Dana Abdul Razak (Hussain-),F,1.63,56.0
305,Samir Ahmed Abdul Shakour,M,1.8,72.0
310,Patmawati Abdul Wahid,F,1.58,58.0
311,Haidar Abdul-Amir Hassan,M,1.85,80.0
312,Haidar Abdul-Razzaq Hassan,M,1.75,75.0
313,"Lawal Kolawole ""Kola"" Abdulai",M,1.72,66.0
314,"Rukayatu ""Ruky"" Abdulai",F,1.8,59.0
315,Mona Ahmad Abdulaziz Hassanein,F,1.66,61.0
316,Zagalav Abdulbekovich Abdulbekov,M,1.6,62.0
317,Roosevelt M. Abdulgafur,M,1.81,73.0
321,Ahmad Hassan Abdullah,M,1.64,55.0
322,Ahmed Ghanim Abdullah,M,1.84,79.0
323,Aquil Hashim Abdullah (Shumate-),M,1.87,83.0
331,Wan Azlan Abdullah,M,1.88,77.0
335,Abdulqdir Abdullayev,M,1.88,91.0
336,Arif Yadulla Abdullayev,M,1.64,60.0
337,Mukhammad Kadyr Abdullayev,M,1.69,63.0
338,Muminzhon Abdullayev,M,1.9,130.0
339,Namiq Yadulla Abdullayev,M,1.67,55.0
340,Laye Abdullayeva,F,1.7,47.0
341,lqar Abdulov,M,1.75,74.0
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,1.62,72.0
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,1.68,68.0
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,1.68,62.0
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,1.7,59.0
