kontinent,year,population
Europa,2016,444676652
Europa,2015,443793218
Europa,2014,442920819
Europa,2013,442425741
Europa,2012,442069839
Europa,2011,441414078
Europa,2010,442088310
Europa,2009,441388573
Europa,2008,440270719
Europa,2007,438796003
Europa,2006,437263803
Europa,2005,435789139
Europa,2004,434193248
Europa,2003,432512916
Europa,2002,430924112
Europa,2001,429909307
Europa,2000,429339162
Europa,1999,428825949
Europa,1998,428120105
Europa,1997,427547651
Europa,1996,426905134
Europa,1995,426210050
Europa,1994,425404352
Europa,1993,424344744
Europa,1992,422968989
Europa,1991,421741276
Europa,1990,420525030
Europa,1989,419102379
Europa,1988,417653885
Europa,1987,416296769
Europa,1986,415087013
Europa,1985,413962998
Europa,1984,412998350
Europa,1983,412072128
Europa,1982,410988238
Europa,1981,409724709
Europa,1980,407986180
Europa,1979,406112162
Europa,1978,404312949
Europa,1977,402445831
Europa,1976,400490355
Europa,1975,398397694
Europa,1974,396124649
Europa,1973,393739994
Europa,1972,391197266
Europa,1971,388553371
Europa,1970,386406167
Europa,1969,384226226
Europa,1968,381579577
Europa,1967,378902917
Europa,1966,376058575
Europa,1965,373129199
Europa,1964,370055037
Europa,1963,366840786
Europa,1962,363707978
Europa,1961,360681613
Europa,1960,357710476
Amerika Nord,2016,360527592
Amerika Nord,2015,357583083
Amerika Nord,2014,354755155
Amerika Nord,2013,351870848
Amerika Nord,2012,349116140
Amerika Nord,2011,346242415
Amerika Nord,2010,343447854
Amerika Nord,2009,340465163
Amerika Nord,2008,337404564
Amerika Nord,2007,334183103
Amerika Nord,2006,331013939
Amerika Nord,2005,327822042
Amerika Nord,2004,324806660
Amerika Nord,2003,321812780
Amerika Nord,2002,319046534
Amerika Nord,2001,316051677
Amerika Nord,2000,312909691
Amerika Nord,1999,309502410
Amerika Nord,1998,306069812
Amerika Nord,1997,302623125
Amerika Nord,1996,299064031
Amerika Nord,1995,295639837
Amerika Nord,1994,292185857
Amerika Nord,1993,288662580
Amerika Nord,1992,284943671
Amerika Nord,1991,281076404
Amerika Nord,1990,277371697
Amerika Nord,1989,274152910
Amerika Nord,1988,271347446
Amerika Nord,1987,268791866
Amerika Nord,1986,266289167
Amerika Nord,1985,263821663
Amerika Nord,1984,261487222
Amerika Nord,1983,259213228
Amerika Nord,1982,256835329
Amerika Nord,1981,254339912
Amerika Nord,1980,251794340
Amerika Nord,1979,249310061
Amerika Nord,1978,246601634
Amerika Nord,1977,244018165
Amerika Nord,1976,241538018
Amerika Nord,1975,239169404
Amerika Nord,1974,236715025
Amerika Nord,1973,234453723
Amerika Nord,1972,232167266
Amerika Nord,1971,229675639
Amerika Nord,1970,226428124
Amerika Nord,1969,223756306
Amerika Nord,1968,221500404
Amerika Nord,1967,219173514
