Sport_ID,Sport,Event
98,Basketball,Basketball Men's Basketball
237,Judo,Judo Men's Extra-Lightweight
93,Badminton,Badminton Men's Singles
304,Sailing,Sailing Women's Windsurfer
216,Gymnastics,Gymnastics Men's Individual All-Around
223,Gymnastics,Gymnastics Men's Team All-Around
213,Gymnastics,Gymnastics Men's Floor Exercise
215,Gymnastics,Gymnastics Men's Horse Vault
219,Gymnastics,Gymnastics Men's Parallel Bars
214,Gymnastics,Gymnastics Men's Horizontal Bar
221,Gymnastics,Gymnastics Men's Rings
220,Gymnastics,Gymnastics Men's Pommelled Horse
59,Athletics,Athletics Men's Shot Put
429,Weightlifting,Weightlifting Women's Super-Heavyweight
441,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
295,Sailing,Sailing Mixed Three Person Keelboat
267,Rowing,Rowing Men's Lightweight Double Sculls
58,Athletics,Athletics Men's Pole Vault
285,Sailing,Sailing Men's Two Person Dinghy
15,Athletics,"Athletics Men's 1,500 metres"
342,Swimming,Swimming Men's 100 metres Butterfly
347,Swimming,Swimming Men's 200 metres Butterfly
352,Swimming,Swimming Men's 4 x 100 metres Medley Relay
210,Football,Football Women's Football
192,Equestrianism,"Equestrianism Mixed Jumping, Individual"
314,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
320,Shooting,Shooting Men's Trap
33,Athletics,Athletics Men's 4 x 100 metres Relay
55,Athletics,Athletics Men's Long Jump
85,Athletics,Athletics Women's Javelin Throw
436,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
388,Taekwondo,Taekwondo Men's Flyweight
38,Athletics,"Athletics Men's 5,000 metres"
109,Boxing,Boxing Men's Light-Welterweight
418,Weightlifting,Weightlifting Men's Lightweight
420,Weightlifting,Weightlifting Men's Middleweight
209,Football,Football Men's Football
264,Rowing,Rowing Men's Coxless Pairs
200,Fencing,"Fencing Men's epee, Individual"
392,Taekwondo,Taekwondo Women's Flyweight
99,Basketball,Basketball Women's Basketball
176,Diving,Diving Men's Platform
119,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
117,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
131,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
232,Handball,Handball Men's Handball
274,Rowing,Rowing Women's Coxless Pairs
111,Boxing,Boxing Men's Middleweight
408,Water Polo,Water Polo Men's Water Polo
395,Tennis,Tennis Men's Doubles
432,Wrestling,"Wrestling Men's Featherweight, Freestyle"
297,Sailing,Sailing Mixed Two Person Heavyweight Dinghy
90,Athletics,Athletics Women's Shot Put
172,Cycling,Cycling Women's Sprint
163,Cycling,Cycling Women's 500 metres Time Trial
21,Athletics,Athletics Men's 110 metres Hurdles
87,Athletics,Athletics Women's Marathon
20,Athletics,Athletics Men's 100 metres
51,Athletics,Athletics Men's High Jump
196,Fencing,"Fencing Men's Foil, Individual"
197,Fencing,"Fencing Men's Foil, Team"
199,Fencing,"Fencing Men's Sabre, Team"
110,Boxing,Boxing Men's Lightweight
113,Boxing,Boxing Men's Welterweight
268,Rowing,Rowing Men's Quadruple Sculls
265,Rowing,Rowing Men's Double Sculls
262,Rowing,Rowing Men's Coxed Pairs
259,Rowing,Rowing Men's Coxed Eights
36,Athletics,Athletics Men's 400 metres Hurdles
35,Athletics,Athletics Men's 400 metres
50,Athletics,Athletics Men's Hammer Throw
42,Athletics,Athletics Men's 800 metres
156,Cycling,"Cycling Men's Road Race, Individual"
343,Swimming,Swimming Men's 100 metres Freestyle
234,Hockey,Hockey Men's Hockey
278,Rowing,Rowing Women's Single Sculls
359,Swimming,Swimming Men's 50 metres Freestyle
423,Weightlifting,Weightlifting Women's Featherweight
409,Water Polo,Water Polo Women's Water Polo
233,Handball,Handball Women's Handball
414,Weightlifting,Weightlifting Men's Heavyweight
194,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
195,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
302,Sailing,Sailing Women's Three Person Keelboat
171,Cycling,"Cycling Women's Road Race, Individual"
337,Softball,Softball Women's Softball
3,Archery,Archery Women's Individual
437,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
406,Volleyball,Volleyball Men's Volleyball
378,Synchronized Swimming,Synchronized Swimming Women's Duet
380,Synchronized Swimming,Synchronized Swimming Women's Team
391,Taekwondo,Taekwondo Women's Featherweight
56,Athletics,Athletics Men's Marathon
34,Athletics,Athletics Men's 4 x 400 metres Relay
72,Athletics,"Athletics Women's 3,000 metres"
180,Diving,Diving Women's Platform
306,Shooting,"Shooting Men's Air Rifle, 10 metres"
103,Boxing,Boxing Men's Featherweight
413,Weightlifting,Weightlifting Men's Flyweight
443,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
449,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
308,Shooting,"Shooting Men's Free Pistol, 50 metres"
305,Shooting,"Shooting Men's Air Pistol, 10 metres"
201,Fencing,"Fencing Men's epee, Team"
263,Rowing,Rowing Men's Coxless Fours
106,Boxing,Boxing Men's Light-Flyweight
112,Boxing,Boxing Men's Super-Heavyweight
331,Shooting,"Shooting Women's Air Rifle, 10 metres"
240,Judo,Judo Men's Half-Middleweight
417,Weightlifting,Weightlifting Men's Light-Heavyweight
419,Weightlifting,Weightlifting Men's Middle-Heavyweight
52,Athletics,Athletics Men's Javelin Throw
407,Volleyball,Volleyball Women's Volleyball
451,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
447,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
19,Athletics,"Athletics Men's 10,000 metres"
27,Athletics,"Athletics Men's 3,000 metres Steeplechase"
446,Wrestling,"Wrestling Men's Middleweight, Freestyle"
362,Swimming,Swimming Women's 100 metres Backstroke
366,Swimming,Swimming Women's 200 metres Backstroke
372,Swimming,Swimming Women's 4 x 100 metres Medley Relay
440,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
253,Modern Pentathlon,Modern Pentathlon Men's Individual
254,Modern Pentathlon,Modern Pentathlon Men's Team
71,Athletics,Athletics Women's 200 metres
385,Table Tennis,Table Tennis Women's Singles
384,Table Tennis,Table Tennis Women's Doubles
317,Shooting,Shooting Men's Skeet
24,Athletics,Athletics Men's 200 metres
319,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
68,Athletics,Athletics Women's 100 metres
427,Weightlifting,Weightlifting Women's Lightweight
86,Athletics,Athletics Women's Long Jump
206,Fencing,"Fencing Women's epee, Individual"
348,Swimming,Swimming Men's 200 metres Freestyle
351,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
353,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
349,Swimming,Swimming Men's 200 metres Individual Medley
357,Swimming,Swimming Men's 400 metres Individual Medley
105,Boxing,Boxing Men's Heavyweight
430,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
434,Wrestling,"Wrestling Men's Flyweight, Freestyle"
78,Athletics,"Athletics Women's 5,000 metres"
426,Weightlifting,Weightlifting Women's Light-Heavyweight
425,Weightlifting,Weightlifting Women's Heavyweight
47,Athletics,Athletics Men's Discus Throw
412,Weightlifting,Weightlifting Men's Featherweight
387,Taekwondo,Taekwondo Men's Featherweight
390,Taekwondo,Taekwondo Men's Welterweight
241,Judo,Judo Men's Heavyweight
102,Boxing,Boxing Men's Bantamweight
442,Wrestling,"Wrestling Men's Lightweight, Freestyle"
97,Baseball,Baseball Men's Baseball
260,Rowing,Rowing Men's Coxed Fours
144,Cycling,Cycling Men's 100 kilometres Team Time Trial
104,Boxing,Boxing Men's Flyweight
198,Fencing,"Fencing Men's Sabre, Individual"
257,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
228,Gymnastics,Gymnastics Women's Individual All-Around
229,Gymnastics,Gymnastics Women's Team All-Around
226,Gymnastics,Gymnastics Women's Floor Exercise
227,Gymnastics,Gymnastics Women's Horse Vault
231,Gymnastics,Gymnastics Women's Uneven Bars
225,Gymnastics,Gymnastics Women's Balance Beam
181,Diving,Diving Women's Springboard
183,Diving,Diving Women's Synchronized Springboard
67,Athletics,"Athletics Women's 10,000 metres"
46,Athletics,Athletics Men's Decathlon
74,Athletics,Athletics Women's 4 x 100 metres Relay
64,Athletics,Athletics Men's Triple Jump
376,Swimming,Swimming Women's 50 metres Freestyle
81,Athletics,Athletics Women's Discus Throw
65,Athletics,"Athletics Women's 1,500 metres"
330,Shooting,"Shooting Women's Air Pistol, 10 metres"
335,Shooting,"Shooting Women's Sporting Pistol, 25 metres"
130,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
136,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
